contract,label,sector,method,method_name,direction,n_signals,win_rate,avg_return,avg_loss,avg_weeks,reward_risk,horizon
chf,Swiss Franc,Currencies,A,Current,short,37,0.2972972972972973,-0.01634721820665137,-0.03332862881397937,,,3m
chf,Swiss Franc,Currencies,B,Hybrid,long,28,0.8214285714285714,0.02394948489681172,-0.01493398741498062,10.413265306122451,2.1697094526637435,
chf,Swiss Franc,Currencies,B,Hybrid,short,17,0.47058823529411764,-0.02191950576473569,-0.05688012146101134,21.65546218487395,0.3061031946900636,
chf,Swiss Franc,Currencies,C,Shapiro,long,12,0.75,0.017997575461103643,-0.009509091430548308,9.416666666666668,2.856893807721141,
chf,Swiss Franc,Currencies,C,Shapiro,short,8,0.25,-0.045658590811291866,-0.06796256010408308,25.0,0.31272096040132713,
gold,Gold,Metals,A,Current,long,54,0.6481481481481481,0.03735380809690541,-0.04415795056792487,,,3m
gold,Gold,Metals,A,Current,short,43,0.3488372093023256,-0.028108994715619565,-0.0683610608477565,,,3m
gold,Gold,Metals,B,Hybrid,long,29,0.7931034482758621,0.05474851509641322,-0.05185512681716146,17.704433497536943,1.5920925447563516,
gold,Gold,Metals,B,Hybrid,short,25,0.56,0.01321114291303629,-0.07415840949939084,18.794285714285714,1.1038350058008695,
gold,Gold,Metals,C,Shapiro,long,10,0.7,0.03864905937851809,-0.044612293738814736,22.942857142857143,1.6661886264801247,
gold,Gold,Metals,C,Shapiro,short,15,0.6,0.030706525570507095,-0.05026659448064138,21.35238095238095,1.684789003106651,
silver,Silver,Metals,A,Current,long,42,0.6190476190476191,0.052134179588379036,-0.07036965213573945,,,3m
silver,Silver,Metals,A,Current,short,32,0.5,-0.007921833237794964,-0.10571394988383383,,,3m
silver,Silver,Metals,B,Hybrid,long,20,0.95,0.18762460001544112,-0.03754858576324416,16.52857142857143,5.312472261334722,
silver,Silver,Metals,B,Hybrid,short,10,0.6,0.017342862419267226,-0.034921375493508156,25.24285714285714,1.494376637717265,
silver,Silver,Metals,C,Shapiro,long,14,0.9285714285714286,0.1803869801854285,-0.03754858576324416,16.204081632653065,5.2505640487307375,
silver,Silver,Metals,C,Shapiro,short,6,0.6666666666666666,0.011482385407311835,-0.056151894290925264,28.9047619047619,0.8067319157877683,
palladium,Palladium,Metals,A,Current,long,50,0.56,0.012637847080543892,-0.13002247849794787,,,3m
palladium,Palladium,Metals,A,Current,short,40,0.425,-0.047000158165563674,-0.13762801134273106,,,3m
palladium,Palladium,Metals,B,Hybrid,long,18,0.6666666666666666,0.05421344536403589,-0.14079071876390806,19.15079365079365,1.0775960855943894,
palladium,Palladium,Metals,B,Hybrid,short,2,1.0,0.08272024878050666,0.0,4.285714285714286,,
palladium,Palladium,Metals,C,Shapiro,long,7,0.8571428571428571,0.14854211542870827,-0.07563214649185823,25.73469387755102,2.4580089424737124,
platinum,Platinum,Metals,A,Current,long,32,0.59375,0.02876201463531816,-0.06154495073711393,,,3m
platinum,Platinum,Metals,A,Current,short,45,0.5777777777777777,0.011984663656680033,-0.08037635595665528,,,3m
platinum,Platinum,Metals,B,Hybrid,short,22,0.6818181818181818,0.002188728690333521,-0.13316933998036548,13.188311688311687,0.4907723310257637,
platinum,Platinum,Metals,C,Shapiro,short,14,0.5714285714285714,-0.026608897224362476,-0.14288560927986338,16.367346938775512,0.4241059482664309,
copper,Copper,Metals,A,Current,long,34,0.5588235294117647,0.028325488959456913,-0.06525195437018529,,,3m
copper,Copper,Metals,A,Current,short,37,0.43243243243243246,-0.021676930521970745,-0.09668058649652742,,,3m
copper,Copper,Metals,B,Hybrid,long,10,0.4,-0.022859589411744253,-0.09079345334185845,13.528571428571428,0.8705606359724918,
copper,Copper,Metals,B,Hybrid,short,19,0.5789473684210527,-0.019974896724073387,-0.10158481967563393,13.909774436090226,0.3876344382867504,
copper,Copper,Metals,C,Shapiro,long,5,0.6,0.03118466356470282,-0.05143587575217473,11.828571428571427,1.6771372480352982,
copper,Copper,Metals,C,Shapiro,short,10,0.5,-0.027659408025273734,-0.11192749368423098,15.742857142857144,0.5057620408564449,
crude,Crude Oil WTI,Energies,A,Current,long,13,0.6923076923076923,0.07604890917448734,-0.2450246195892823,,,3m
crude,Crude Oil WTI,Energies,A,Current,short,47,0.425531914893617,-0.021570419549740674,-0.07907490546088068,,,3m
crude,Crude Oil WTI,Energies,B,Hybrid,long,3,0.0,-0.10990521066942889,-0.10990521066942889,2.6666666666666665,,
crude,Crude Oil WTI,Energies,B,Hybrid,short,22,0.7272727272727273,0.042798387460985896,-0.08368963607123896,20.545454545454543,1.0781669095652744,
crude,Crude Oil WTI,Energies,C,Shapiro,short,12,0.6666666666666666,0.05131529338895236,-0.06404767174691256,21.15476190476191,1.7018069975687922,
gasoline,RBOB Gasoline,Energies,A,Current,long,23,0.6086956521739131,0.010844543174152751,-0.11677106480300939,,,3m
gasoline,RBOB Gasoline,Energies,A,Current,short,48,0.5,-0.014152627664427495,-0.17119719312373882,,,3m
gasoline,RBOB Gasoline,Energies,B,Hybrid,long,13,0.8461538461538461,0.04813695488640996,-0.19841884190541698,5.967032967032965,0.4685305119367045,
gasoline,RBOB Gasoline,Energies,B,Hybrid,short,28,0.6428571428571429,0.02052568256219097,-0.06942060089897342,10.11734693877551,1.0154887616603463,
gasoline,RBOB Gasoline,Energies,C,Shapiro,long,6,1.0,0.10839214904042056,0.0,5.476190476190477,,
gasoline,RBOB Gasoline,Energies,C,Shapiro,short,15,0.6,0.02234320070395616,-0.04689690471273559,9.171428571428573,1.4607205187925232,
heating_oil,Heating Oil,Energies,A,Current,long,12,0.8333333333333334,0.06426766154329983,-0.033005095972894805,,,3m
heating_oil,Heating Oil,Energies,A,Current,short,18,0.2777777777777778,-0.059671017023518354,-0.10762480612257241,,,3m
